ORG_CODE,TRANSACTION_TYPE,TRANSACTION_REASON,ITEM_CODE,JOBCARD_NO,TRACK_NO,LINE_NO,TRANSACTION_DATE,TRANSACTION_QUANTITY,TRANSACTION_COST,description,blanktype
VSP,OUTWARD,VISION RM Issue To LENS C2,$149880400,06412024,RM0641/2024/1,1,17-Dec-2024 00:00:00,36,,1.498C2BLANK,SS-ORG 1.498 SV 80MM POLY C2 BASE +4.00
VSP,OUTWARD,VISION RM Issue To LENS C2,$0710108000,06422024,RM0642/2024/1,1,17-Dec-2024 00:00:00,300,,1.53TRIVEXBLANK,TRIVEX SFSV UC 70MM BASE 8.00
VSP,OUTWARD,VISION RM Issue To LENSPLASTIC,$23837867,2412000007BB,RM2412000007BB/1,1,17-Dec-2024 00:00:00,20,,1.59POLYBLANK,1.59 POLY SFSV 0050 UNC80PO
VSP,OUTWARD,VISION RM Issue To LENSPLASTIC,$23837883,2412000008BB,RM2412000008BB/1,1,17-Dec-2024 00:00:00,20,,1.59POLYBLANK,1.59 POLY SFSV 0200 UNC80PO
VSP,OUTWARD,VISION RM Issue To LENSPLASTIC,$23837909,2412000009BB,RM2412000009BB/1,1,17-Dec-2024 00:00:00,30,,1.59POLYBLANK,1.59 POLY SFSV 0400 UNC80PO
VSP,OUTWARD,VISION RM Issue To LENSPLASTIC,$23837909,2412000010BB,RM2412000010BB/1,1,17-Dec-2024 00:00:00,30,,1.59POLYBLANK,1.59 POLY SFSV 0400 UNC80PO
VSP,OUTWARD,VISION RM Issue To LENSPLASTIC,$23837909,2412000011BB,RM2412000011BB/1,1,17-Dec-2024 00:00:00,20,,1.59POLYBLANK,1.59 POLY SFSV 0400 UNC80PO
VSP,OUTWARD,VISION RM Issue To LENSPLASTIC,$23837925,2412000012BB,RM2412000012BB/1,1,17-Dec-2024 00:00:00,30,,1.59POLYBLANK,1.59 POLY SFSV 0625 UNC80PO
VSP,OUTWARD,VISION RM Issue To LENSPLASTIC,$23837925,2412000013BB,RM2412000013BB/1,1,17-Dec-2024 00:00:00,30,,1.59POLYBLANK,1.59 POLY SFSV 0625 UNC80PO
VSP,OUTWARD,VISION RM Issue To LENSPLASTIC,OPC NOT AVAIL,2412000014BB,RM2412000014BB/1,1,17-Dec-2024 00:00:00,20,,NONE,no blank avail
VSP,OUTWARD,VISION RM Issue To LENS BF,$1194565,24120346,RM24120346/1,1,17-Dec-2024 00:00:00,34,,1.523WHTBLANK,BIF_1.5 WHT 70.0 +4.25 -6.00 10.5 (DES)
VSP,OUTWARD,VISION RM Issue To LENS BF,$1194565,24120347,RM24120347/1,1,17-Dec-2024 00:00:00,7,,1.523WHTBLANK,BIF_1.5 WHT 70.0 +4.25 -6.00 10.5 (DES)
